date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-12,75.0,81.4,75.7,74.99,84259.72,-7.13,-8.61,72.902,60.04,49.794,17795.98,8953.0,5982.13,42.13
2016-09-09,82.83,82.83,82.83,82.83,3465.43,7.53,10.0,69.076,55.983,47.944,970.84,531.23,390.88,1.73
2016-09-08,75.3,75.3,75.3,75.3,752.76,6.85,10.01,62.796,50.894,45.26,310.35,189.88,154.37,0.38
2016-09-07,68.45,68.45,68.45,68.45,364.0,6.22,9.99,57.086,46.268,42.757,177.41,117.01,104.51,0.18
2016-09-06,62.23,62.23,62.23,62.23,138.0,5.66,10.01,51.896,42.063,40.421,118.61,83.71,80.91,0.07
2016-09-05,56.57,56.57,56.57,56.57,134.0,5.14,9.99,47.178,38.24,38.24,110.01,75.21,75.21,0.07
2016-09-02,51.43,51.43,51.43,51.43,163.0,4.68,10.01,42.89,36.203,36.203,91.61,68.67,68.67,0.08
2016-09-01,46.75,46.75,46.75,46.75,88.06,4.25,10.0,38.992,34.3,34.3,69.41,56.88,56.88,0.04
2016-08-31,42.5,42.5,42.5,42.5,70.0,3.86,9.99,35.45,32.521,32.521,56.6,52.43,52.43,0.04
2016-08-30,38.64,38.64,38.64,38.64,95.0,3.51,9.99,32.23,30.858,30.858,48.8,49.5,49.5,0.05
2016-08-29,35.13,35.13,35.13,35.13,42.0,3.19,9.99,29.302,29.302,29.302,40.4,40.4,40.4,0.02
2016-08-26,31.94,31.94,31.94,31.94,52.0,2.9,9.99,27.845,27.845,27.845,40.0,40.0,40.0,0.03
2016-08-25,29.04,29.04,29.04,29.04,24.0,2.64,10.0,26.48,26.48,26.48,36.0,36.0,36.0,0.01
2016-08-24,26.4,26.4,26.4,26.4,31.0,2.4,10.0,25.2,25.2,25.2,42.0,42.0,42.0,0.02
2016-08-23,22.0,24.0,24.0,22.0,53.0,7.33,43.97,24.0,24.0,24.0,53.0,53.0,53.0,0.03
