date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-12,29.77,29.9,28.71,28.7,76811.34,-1.71,-5.62,30.28,30.679,31.461,50244.23,47685.22,67435.65,5.39
2016-09-09,30.53,30.94,30.42,30.4,40681.47,-0.11,-0.36,30.69,30.931,31.706,41722.11,43767.58,71574.06,2.85
2016-09-08,30.69,30.8,30.54,30.41,35149.77,-0.15,-0.49,30.754,31.017,31.831,41686.2,45068.66,76655.1,2.47
2016-09-07,31.16,31.17,30.72,30.6,43215.37,-0.29,-0.94,30.848,31.114,31.913,44759.53,49057.46,81288.93,3.03
2016-09-06,30.75,31.07,31.01,30.21,55363.22,0.28,0.91,31.018,31.259,32.032,48771.88,53981.24,90806.8,3.89
2016-09-05,30.73,31.08,30.76,30.59,34200.71,0.02,0.07,31.078,31.311,32.059,45126.21,54410.4,93062.19,2.4
2016-09-02,30.98,31.16,30.74,30.58,40501.91,-0.26,-0.84,31.172,31.374,32.088,45813.05,61694.45,96899.59,2.84
2016-09-01,31.31,31.59,31.01,30.91,50516.45,-0.56,-1.77,31.28,31.605,32.087,48451.12,66174.76,99628.43,3.55
2016-08-31,31.33,31.76,31.57,31.0,63277.1,0.28,0.9,31.38,31.824,32.119,53355.38,71099.96,102312.79,4.44
2016-08-30,31.24,31.59,31.31,31.18,37134.89,0.08,0.26,31.5,32.011,32.13,59190.6,77876.69,106605.65,2.61
2016-08-29,31.29,31.58,31.23,31.03,37634.91,-0.06,-0.19,31.544,32.243,32.099,63694.6,87186.09,108718.74,2.64
2016-08-26,31.72,31.78,31.28,31.26,53692.27,-0.25,-0.79,31.576,32.481,32.051,77575.85,99380.54,112450.76,3.77
2016-08-25,31.99,31.99,31.51,31.02,75037.74,-0.66,-2.05,31.93,32.644,32.102,83898.4,108241.53,118821.67,5.27
2016-08-24,31.65,32.73,32.17,31.41,92453.17,0.67,2.13,32.268,32.712,32.103,88844.54,113520.41,121137.3,6.49
2016-08-23,31.1,31.75,31.53,31.1,59654.89,0.13,0.41,32.522,32.805,32.097,96562.79,127632.37,125415.9,4.19
2016-08-22,32.81,33.0,31.39,31.3,107041.18,-1.64,-4.96,32.942,32.806,32.269,110677.58,131713.98,129357.28,7.51
2016-08-19,33.21,33.7,33.05,32.8,85305.01,-0.14,-0.42,33.386,32.801,32.412,121185.22,132104.72,132202.49,5.99
2016-08-18,33.37,33.87,33.2,33.04,99768.45,-0.24,-0.72,33.358,32.568,32.513,132584.67,133082.11,137114.66,7.0
2016-08-17,33.56,33.88,33.44,32.82,131044.43,-0.17,-0.51,33.156,32.414,32.708,138196.28,133525.62,138306.44,9.2
2016-08-16,33.7,34.2,33.63,33.42,130228.81,0.03,0.09,33.088,32.249,32.909,158701.95,135334.61,138038.53,9.14
2016-08-15,33.18,33.89,33.61,32.61,159579.41,0.71,2.16,32.67,31.955,33.098,152750.38,130251.38,141112.16,11.2
2016-08-12,32.03,33.32,32.91,31.86,142302.25,0.72,2.24,32.216,31.621,33.349,143024.22,125520.99,142955.76,9.99
2016-08-11,32.55,32.96,32.19,32.12,127826.52,-0.89,-2.69,31.778,31.56,33.706,133579.55,129401.82,146914.53,8.97
2016-08-10,31.59,34.06,33.1,31.38,233572.75,1.56,4.95,31.672,31.494,34.089,128854.95,128754.18,151294.91,16.39
2016-08-09,31.16,31.88,31.54,31.02,100470.97,0.21,0.67,31.41,31.389,34.461,111967.28,123199.42,160127.16,7.05
2016-08-08,30.38,31.38,31.34,29.56,110948.63,0.63,2.05,31.24,31.731,34.869,107752.39,127000.59,182145.29,7.79
2016-08-05,31.78,31.78,30.72,30.61,95078.86,-0.93,-2.94,31.026,32.023,35.427,108017.76,132300.25,217695.38,6.67
2016-08-04,31.5,31.98,31.66,31.33,104203.55,-0.13,-0.41,31.342,32.457,36.006,125224.08,141147.21,213720.36,7.31
2016-08-03,30.5,31.95,31.79,30.38,149134.38,1.12,3.65,31.316,33.001,36.346,128653.41,143087.26,209028.22,10.47
2016-08-02,30.51,31.2,30.69,30.42,79396.52,0.43,1.42,31.368,33.568,36.505,134431.56,140742.45,201848.76,5.57
2016-08-01,31.7,31.75,30.27,29.5,112275.49,-2.04,-6.31,32.222,34.241,36.559,146248.78,151972.94,198101.44,7.88
2016-07-29,31.55,33.36,32.3,30.8,181110.48,0.77,2.44,33.02,35.077,36.49,156582.74,160390.54,192786.01,12.71
2016-07-28,32.01,32.4,31.53,30.58,121350.2,-0.54,-1.68,33.572,35.852,36.188,157070.34,164427.24,184258.61,8.52
