date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-12,39.3,40.13,39.21,38.94,123414.54,-1.44,-3.54,42.102,41.627,32.395,213559.31,199602.52,105199.67,13.2
2016-09-09,41.8,42.35,40.66,40.5,145371.55,-1.3,-3.1,43.294,40.851,32.016,296611.79,187356.07,104187.73,15.55
2016-09-08,42.61,43.5,42.0,41.58,168405.7,-0.88,-2.05,44.374,39.644,31.508,335934.52,172869.28,101765.15,18.01
2016-09-07,45.6,45.8,42.87,42.82,287490.0,-2.95,-6.44,44.348,38.043,30.852,310278.11,156096.41,97600.12,30.75
2016-09-06,44.01,46.89,45.77,43.75,343114.78,0.55,1.22,43.386,36.119,30.051,254062.48,127358.97,84940.79,36.7
2016-09-05,48.97,49.55,45.17,45.01,538676.94,-0.89,-1.93,41.152,33.69,28.928,185645.73,93058.49,66499.79,57.61
2016-09-02,46.03,46.06,46.06,44.44,341985.19,4.19,10.01,38.408,31.126,27.678,78100.35,39199.09,30178.48,36.58
2016-09-01,41.87,41.87,41.87,41.87,40123.64,3.81,10.01,34.914,28.295,26.147,9804.03,5005.97,4194.58,4.29
2016-08-31,38.06,38.06,38.06,38.06,6411.85,3.46,10.0,31.738,25.722,24.717,1914.71,997.77,928.3,0.69
2016-08-30,34.6,34.6,34.6,34.6,1031.01,3.15,10.02,28.852,23.383,23.383,655.45,379.95,379.95,0.11
2016-08-29,31.45,31.45,31.45,31.45,950.04,2.86,10.0,26.228,22.137,22.137,471.25,307.61,307.61,0.1
2016-08-26,28.59,28.59,28.59,28.59,503.62,2.6,10.0,23.844,20.973,20.973,297.84,227.31,227.31,0.05
2016-08-25,25.99,25.99,25.99,25.99,677.01,2.36,9.99,21.676,19.884,19.884,207.92,187.83,187.83,0.07
2016-08-24,23.63,23.63,23.63,23.63,115.57,2.15,10.01,19.706,18.867,18.867,80.84,106.3,106.3,0.01
2016-08-23,21.48,21.48,21.48,21.48,110.0,1.95,9.98,17.914,17.914,17.914,104.45,104.45,104.45,0.01
2016-08-22,19.53,19.53,19.53,19.53,83.0,1.78,10.03,17.023,17.023,17.023,103.06,103.06,103.06,0.01
2016-08-19,17.75,17.75,17.75,17.75,54.0,1.61,9.97,16.187,16.187,16.187,109.75,109.75,109.75,0.01
2016-08-18,16.14,16.14,16.14,16.14,41.63,1.47,10.02,15.405,15.405,15.405,137.63,137.63,137.63,0.0
2016-08-17,12.23,14.67,14.67,12.23,233.62,4.48,43.97,14.67,14.67,14.67,233.62,233.62,233.62,0.02
