date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-12,62.3,63.56,61.6,61.48,41824.6,-3.36,-5.17,65.71,68.297,64.505,47127.37,73959.37,64193.94,9.96
2016-09-09,66.0,66.96,64.96,64.91,37466.81,-1.11,-1.68,67.162,69.102,63.26,57576.88,82589.37,62113.09,8.92
2016-09-08,66.7,68.05,66.07,65.51,39506.29,-0.72,-1.08,68.964,70.199,61.68,72817.32,99898.7,60250.3,9.41
2016-09-07,69.0,69.0,66.79,66.77,59961.0,-2.34,-3.38,69.95,71.457,59.892,84753.18,115908.72,58282.53,14.28
2016-09-06,68.06,69.84,69.13,67.5,56878.13,0.27,0.39,70.882,71.928,57.931,97327.97,110032.95,55288.43,13.54
2016-09-05,73.29,73.6,68.86,68.85,94072.19,-5.11,-6.91,70.884,71.515,55.726,100791.37,104503.6,52447.15,22.4
2016-09-02,71.0,74.55,73.97,70.41,113668.99,2.97,4.18,71.042,70.538,53.422,107601.85,95156.28,47750.14,27.06
2016-09-01,70.5,73.45,71.0,69.35,99185.58,-0.45,-0.63,71.434,68.513,50.759,126980.08,83935.73,42068.89,23.62
2016-08-31,68.59,73.5,71.45,66.86,122834.97,2.31,3.34,72.964,66.297,48.15,147064.26,74049.77,37112.2,29.25
2016-08-30,70.01,71.2,69.14,68.7,74195.12,-0.51,-0.73,72.974,63.592,45.433,122737.93,61819.59,30971.85,17.67
2016-08-29,73.0,73.6,69.65,69.01,128124.59,-6.28,-8.27,72.146,60.714,42.753,108215.83,54428.51,27269.35,30.51
2016-08-26,80.0,82.68,75.93,75.83,210560.12,-2.72,-3.46,70.034,57.418,41.337,82710.72,41636.8,21961.18,50.13
2016-08-25,78.65,78.65,78.65,75.2,199606.52,7.15,10.0,65.592,53.16,39.416,40891.38,20601.89,11483.46,47.53
2016-08-24,71.5,71.5,71.5,71.5,1203.29,6.5,10.0,59.63,48.327,37.108,1035.28,656.34,417.4,0.29
2016-08-23,65.0,65.0,65.0,65.0,1584.65,5.91,10.0,54.21,43.933,34.958,901.26,543.91,368.28,0.38
2016-08-22,59.09,59.09,59.09,59.09,599.0,5.37,10.0,49.282,39.938,32.955,641.18,390.7,287.19,0.14
2016-08-19,53.72,53.72,53.72,53.72,1463.44,4.88,9.99,44.802,36.306,31.089,562.89,344.0,264.91,0.35
2016-08-18,48.84,48.84,48.84,48.84,326.0,4.44,10.0,40.728,33.004,29.348,312.4,202.05,172.72,0.08
2016-08-17,44.4,44.4,44.4,44.4,533.2,4.04,10.01,37.024,30.002,27.723,277.4,174.64,159.95,0.13
2016-08-16,40.36,40.36,40.36,40.36,284.27,3.67,10.0,33.656,27.273,26.207,186.56,124.12,126.01,0.07
2016-08-15,36.69,36.69,36.69,36.69,207.55,3.34,10.02,30.594,24.792,24.792,140.21,110.19,110.19,0.05
2016-08-12,33.35,33.35,33.35,33.35,211.0,3.03,9.99,27.81,23.47,23.47,125.1,99.37,99.37,0.05
2016-08-11,30.32,30.32,30.32,30.32,151.0,2.76,10.02,25.28,22.235,22.235,91.7,85.42,85.42,0.04
2016-08-10,27.56,27.56,27.56,27.56,79.0,2.51,10.02,22.98,21.08,21.08,71.87,76.05,76.05,0.02
2016-08-09,25.05,25.05,25.05,25.05,52.5,2.28,10.01,20.89,20.0,20.0,61.67,75.56,75.56,0.01
2016-08-08,22.77,22.77,22.77,22.77,132.0,2.07,10.0,18.99,18.99,18.99,80.17,80.17,80.17,0.03
2016-08-05,20.7,20.7,20.7,20.7,44.0,1.88,9.99,18.045,18.045,18.045,67.21,67.21,67.21,0.01
2016-08-04,18.82,18.82,18.82,18.82,51.83,1.71,9.99,17.16,17.16,17.16,74.94,74.94,74.94,0.01
2016-08-03,17.11,17.11,17.11,17.11,28.0,1.56,10.03,16.33,16.33,16.33,86.5,86.5,86.5,0.01
2016-08-02,12.96,15.55,15.55,12.96,145.0,4.75,43.98,15.55,15.55,15.55,145.0,145.0,145.0,0.03
