date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-12,59.0,62.0,59.0,58.2,105466.1,-5.1,-7.96,56.498,46.499,37.196,22474.46,11463.58,7193.25,52.73
2016-09-09,64.1,64.1,64.1,64.1,4172.79,5.83,10.01,53.452,43.316,35.742,1564.74,926.97,641.72,2.09
2016-09-08,58.27,58.27,58.27,58.27,684.62,5.3,10.01,48.59,39.376,33.716,811.58,522.5,389.5,0.34
2016-09-07,52.97,52.97,52.97,52.97,767.32,4.82,10.01,44.17,35.794,31.828,753.06,462.04,366.8,0.38
2016-09-06,48.15,48.15,48.15,48.15,1281.49,4.38,10.01,40.152,32.538,30.066,672.2,388.31,333.43,0.64
2016-09-05,43.77,43.77,43.77,43.77,917.46,3.98,10.0,36.5,29.578,28.422,452.7,262.96,247.24,0.46
2016-09-02,39.79,39.79,39.79,39.79,407.0,3.62,10.01,33.18,26.887,26.887,289.21,180.22,180.22,0.2
2016-09-01,36.17,36.17,36.17,36.17,392.03,3.29,10.01,30.162,25.453,25.453,233.43,155.02,155.02,0.2
2016-08-31,32.88,32.88,32.88,32.88,363.0,2.99,10.0,27.418,24.114,24.114,171.02,125.39,125.39,0.18
2016-08-30,29.89,29.89,29.89,29.89,184.0,2.72,10.01,24.924,22.861,22.861,104.42,91.45,91.45,0.09
2016-08-29,27.17,27.17,27.17,27.17,100.0,2.47,10.0,22.656,21.69,21.69,73.22,76.02,76.02,0.05
2016-08-26,24.7,24.7,24.7,24.7,128.12,2.25,10.02,20.594,20.594,20.594,71.22,71.22,71.22,0.06
2016-08-25,22.45,22.45,22.45,22.45,80.0,2.04,9.99,19.568,19.568,19.568,57.0,57.0,57.0,0.04
2016-08-24,20.41,20.41,20.41,20.41,30.0,1.86,10.03,18.607,18.607,18.607,49.33,49.33,49.33,0.02
2016-08-23,18.55,18.55,18.55,18.55,28.0,1.69,10.02,17.705,17.705,17.705,59.0,59.0,59.0,0.01
2016-08-22,16.86,16.86,16.86,16.86,90.0,5.15,43.98,16.86,16.86,16.86,90.0,90.0,90.0,0.05
