date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-12,50.92,57.82,57.82,50.7,134653.05,5.26,10.01,55.964,49.26,35.335,140136.71,70354.9,35232.03,44.88
2016-09-09,53.8,53.98,52.56,51.0,99985.6,-2.19,-4.0,54.606,46.646,33.055,113417.19,56920.03,28500.23,33.33
2016-09-08,55.95,56.51,54.75,54.1,120852.51,-3.81,-6.51,53.372,44.27,30.982,93547.87,46948.17,23508.65,40.28
2016-09-07,56.8,60.8,58.56,55.8,198310.75,2.43,4.33,50.856,41.413,29.731,69473.37,34880.01,18385.29,66.1
2016-09-06,56.13,56.13,56.13,54.22,146881.66,5.1,9.99,46.812,37.937,28.129,29887.15,15058.34,8389.43,48.96
2016-09-05,51.03,51.03,51.03,51.03,1055.42,4.64,10.0,42.556,34.488,26.482,573.08,373.89,242.83,0.35
2016-09-02,46.39,46.39,46.39,46.39,639.0,4.22,10.01,38.686,31.352,24.948,422.88,274.06,192.04,0.21
2016-09-01,42.17,42.17,42.17,42.17,480.0,3.83,9.99,35.168,28.501,23.518,348.48,213.36,162.25,0.16
2016-08-31,38.34,38.34,38.34,38.34,379.66,3.49,10.01,31.97,25.909,22.186,286.65,170.86,139.55,0.13
2016-08-30,34.85,34.85,34.85,34.85,311.31,3.17,10.01,29.062,23.552,20.943,229.54,136.0,121.08,0.1
2016-08-29,31.68,31.68,31.68,31.68,304.42,2.88,10.0,26.42,21.41,19.784,174.7,109.17,105.23,0.1
2016-08-26,28.8,28.8,28.8,28.8,267.0,2.62,10.01,24.018,19.463,18.703,125.24,80.42,87.12,0.09
2016-08-25,26.18,26.18,26.18,26.18,170.86,2.38,10.0,21.834,17.693,17.693,78.24,69.13,69.13,0.06
2016-08-24,23.8,23.8,23.8,23.8,94.1,2.16,9.98,19.848,16.75,16.75,55.08,57.83,57.83,0.03
2016-08-23,21.64,21.64,21.64,21.64,37.13,1.97,10.02,18.042,15.869,15.869,42.46,53.29,53.29,0.01
2016-08-22,19.67,19.67,19.67,19.67,57.1,1.79,10.01,16.4,15.044,15.044,43.63,55.6,55.6,0.02
2016-08-19,17.88,17.88,17.88,17.88,32.0,1.63,10.03,14.908,14.273,14.273,35.61,55.35,55.35,0.01
2016-08-18,16.25,16.25,16.25,16.25,55.05,1.48,10.02,13.552,13.552,13.552,60.02,60.02,60.02,0.02
2016-08-17,14.77,14.77,14.77,14.77,31.0,1.34,9.98,12.878,12.878,12.878,61.26,61.26,61.26,0.01
2016-08-16,13.43,13.43,13.43,13.43,43.0,1.22,9.99,12.247,12.247,12.247,71.35,71.35,71.35,0.01
2016-08-15,12.21,12.21,12.21,12.21,17.0,1.11,10.0,11.655,11.655,11.655,85.53,85.53,85.53,0.01
2016-08-12,9.25,11.1,11.1,9.25,154.05,3.39,43.97,11.1,11.1,11.1,154.05,154.05,154.05,0.05
