date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-12,27.91,28.65,28.08,27.2,83405.83,0.18,0.65,27.61,27.643,28.337,41517.66,35962.96,54238.86,15.11
2016-09-09,27.53,28.06,27.9,27.31,43884.36,0.45,1.64,27.394,27.687,28.318,29073.13,32098.59,53192.89,7.95
2016-09-08,27.21,27.68,27.45,27.21,21815.04,0.13,0.48,27.246,27.691,28.268,26639.62,31899.87,52998.16,3.95
2016-09-07,27.38,27.76,27.33,27.15,30471.1,0.06,0.22,27.282,27.741,28.227,29136.15,34854.24,54351.47,5.52
2016-09-06,26.83,27.34,27.29,26.52,28011.95,0.29,1.07,27.484,27.856,28.205,29785.92,36690.89,55142.44,5.07
2016-09-05,27.21,27.58,27.0,26.96,21183.18,-0.18,-0.66,27.676,28.035,28.172,30408.27,39766.84,55413.56,3.84
2016-09-02,27.3,27.65,27.16,27.0,31716.84,-0.44,-1.59,27.98,28.201,28.148,35124.04,44809.96,56022.05,5.75
2016-09-01,28.31,28.45,27.63,27.54,34297.7,-0.69,-2.44,28.136,28.466,28.107,37160.13,50942.44,56634.28,6.21
2016-08-31,28.33,28.5,28.34,27.56,33719.91,0.09,0.32,28.2,28.803,28.091,40572.33,65684.87,58459.19,6.11
2016-08-30,28.4,28.69,28.25,28.13,31123.7,-0.27,-0.95,28.228,29.052,28.045,43595.86,69568.86,60667.39,5.64
2016-08-29,27.48,28.65,28.52,27.32,44762.07,0.6,2.15,28.394,29.03,27.951,49125.41,72514.77,60461.67,8.11
2016-08-26,28.05,28.77,27.94,27.81,41897.25,0.0,0.0,28.422,28.948,27.833,54495.88,74287.19,60239.2,7.59
2016-08-25,28.0,28.0,27.95,27.28,51358.74,-0.54,-1.9,28.796,28.845,27.816,64724.74,74096.46,61809.67,9.3
2016-08-24,29.0,29.18,28.48,28.32,48837.52,-0.57,-1.96,29.406,28.713,27.775,90797.41,73848.69,61729.17,8.85
2016-08-23,28.72,29.25,29.08,28.62,58771.48,0.46,1.61,29.876,28.554,27.709,95541.87,73594.0,63332.15,10.65
2016-08-22,29.59,29.67,28.66,28.3,71614.39,-1.15,-3.86,29.666,28.309,27.731,95904.12,71060.28,62215.65,12.97
2016-08-19,30.3,30.74,29.81,29.61,93041.59,-1.15,-3.71,29.474,28.094,27.769,94078.51,67234.14,61487.28,16.86
2016-08-18,31.6,32.28,31.0,30.36,181722.06,0.17,0.55,28.894,27.748,27.741,83468.17,62326.13,60052.48,32.92
2016-08-17,28.3,30.83,30.83,28.29,72559.83,2.8,9.99,28.02,27.379,27.682,56899.97,51233.51,54931.12,13.14
2016-08-16,27.8,28.43,28.03,27.8,60582.72,0.34,1.23,27.232,27.037,27.685,51646.13,51765.92,54645.98,10.98
2016-08-15,27.13,27.89,27.7,26.91,62486.33,0.8,2.97,26.952,26.872,27.871,46216.45,48408.57,55380.98,11.32
2016-08-12,26.4,26.91,26.91,26.13,39989.9,0.3,1.13,26.714,26.718,28.054,40389.78,46191.21,55697.25,7.24
2016-08-11,26.7,27.35,26.63,26.48,48881.08,-0.25,-0.93,26.602,26.787,28.318,41184.09,49522.88,59471.75,8.86
2016-08-10,26.65,27.18,26.89,26.38,46290.6,0.26,0.98,26.738,26.836,28.561,45567.05,49609.64,60270.59,8.39
2016-08-09,26.55,26.79,26.63,26.3,33434.33,0.12,0.45,26.842,26.864,28.77,51885.72,53070.3,62424.83,6.06
2016-08-08,25.99,26.56,26.51,25.4,33352.98,0.18,0.68,26.792,27.152,29.016,50600.69,53371.03,65831.81,6.04
2016-08-05,26.9,27.0,26.35,26.17,43961.45,-0.96,-3.52,26.722,27.444,29.199,51992.64,55740.42,70522.78,7.96
2016-08-04,27.48,28.36,27.31,27.2,70795.9,-0.12,-0.44,26.972,27.734,29.494,57861.68,57778.83,75260.73,12.83
2016-08-03,26.33,27.46,27.41,26.0,77883.94,1.06,4.02,26.934,27.985,29.836,53652.23,58628.72,81476.32,14.11
2016-08-02,26.17,26.58,26.38,26.09,27009.2,0.21,0.8,26.886,28.333,30.111,54254.88,57526.04,86541.49,4.89
2016-08-01,27.4,27.44,26.16,25.0,40312.71,-1.52,-5.49,27.512,28.87,30.45,56141.36,62353.39,95824.51,7.3
2016-07-29,26.88,27.88,27.6,26.43,73306.64,0.51,1.88,28.166,29.389,30.717,59488.2,65203.29,100811.56,13.28
2016-07-28,27.18,27.35,27.12,26.0,49748.66,-0.05,-0.18,28.496,29.849,30.835,57695.98,69420.61,101714.11,9.01
2016-07-27,29.56,29.67,27.17,26.6,80897.2,-2.33,-7.9,29.036,30.286,30.95,63605.21,70931.53,106978.66,14.66
2016-07-26,29.2,29.77,29.51,29.2,36441.57,0.12,0.41,29.78,30.675,31.196,60797.2,71779.37,114336.73,6.6
