date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-12,8.8,8.8,8.37,8.27,203474.44,-0.64,-7.1,9.15,9.229,8.98,183912.05,226925.43,174408.45,1.79
2016-09-09,9.2,9.38,9.01,9.01,118273.01,-0.25,-2.7,9.432,9.279,9.008,210718.36,231108.3,170164.38,1.04
2016-09-08,9.17,9.38,9.26,9.09,151299.72,-0.11,-1.17,9.51,9.287,8.996,258995.8,244066.35,169687.08,1.33
2016-09-07,9.64,9.65,9.37,9.33,236471.02,-0.37,-3.8,9.514,9.187,8.974,280530.25,238774.53,167303.1,2.08
2016-09-06,9.63,9.77,9.74,9.4,210042.05,-0.04,-0.41,9.47,9.101,8.962,281726.32,220302.04,164822.66,1.85
2016-09-05,9.42,9.99,9.78,9.42,337506.0,0.38,4.04,9.308,8.979,8.917,269938.82,205102.4,160308.21,2.97
2016-09-02,9.4,9.88,9.4,9.35,359660.22,0.12,1.29,9.126,8.851,8.867,251498.24,178996.71,151574.88,3.16
2016-09-01,9.17,9.37,9.28,9.1,258971.97,0.13,1.42,9.064,8.791,8.83,229136.89,150776.53,139923.08,2.28
2016-08-31,8.9,9.19,9.15,8.85,242451.34,0.22,2.46,8.86,8.749,8.808,197018.81,136798.58,133808.5,2.13
2016-08-30,8.88,8.96,8.93,8.68,151104.56,0.06,0.68,8.732,8.719,8.793,158877.77,124078.58,133950.61,1.33
2016-08-29,9.09,9.09,8.87,8.78,245303.12,-0.22,-2.42,8.65,8.73,8.779,140265.98,121891.47,134479.45,2.16
2016-08-26,8.36,9.09,9.09,8.36,247853.48,0.83,10.05,8.576,8.737,8.757,106495.18,109220.46,132562.63,2.18
2016-08-25,8.46,8.47,8.26,8.03,98381.57,-0.25,-2.94,8.518,8.705,8.731,72416.17,95307.82,135889.52,0.87
2016-08-24,8.53,8.62,8.51,8.48,51746.12,-0.01,-0.12,8.638,8.76,8.769,76578.35,95831.66,154138.26,0.46
2016-08-23,8.5,8.61,8.52,8.46,58045.61,0.02,0.23,8.706,8.822,8.844,89279.38,109343.27,170530.04,0.51
2016-08-22,8.75,8.82,8.5,8.49,76449.12,-0.3,-3.41,8.81,8.855,8.93,103516.97,115514.02,176330.6,0.67
2016-08-19,8.93,8.93,8.8,8.65,77458.43,-0.06,-0.68,8.898,8.883,9.025,111945.73,124153.04,185430.22,0.68
2016-08-18,8.75,9.04,8.86,8.71,119192.47,0.01,0.11,8.892,8.869,9.085,118199.46,129069.62,199900.71,1.05
2016-08-17,8.95,9.02,8.85,8.74,115251.27,-0.19,-2.1,8.882,8.866,9.135,115084.97,130818.41,203487.79,1.01
2016-08-16,8.95,9.1,9.04,8.83,129233.54,0.1,1.12,8.938,8.867,9.18,129407.16,143822.64,208976.68,1.14
2016-08-15,8.77,8.98,8.94,8.62,118592.95,0.17,1.94,8.9,8.827,9.231,127511.08,147067.42,211072.2,1.04
2016-08-12,8.7,8.8,8.77,8.57,108727.09,-0.04,-0.45,8.868,8.777,9.295,136360.36,155904.8,215545.4,0.96
2016-08-11,9.06,9.08,8.81,8.77,103620.0,-0.32,-3.5,8.846,8.756,9.359,139939.78,176471.22,217606.74,0.91
2016-08-10,8.78,9.25,9.13,8.73,186862.22,0.28,3.16,8.85,8.777,9.42,146551.85,212444.85,221498.73,1.64
2016-08-09,8.77,8.93,8.85,8.63,119753.12,0.07,0.8,8.796,8.866,9.479,158238.13,231716.81,226375.54,1.05
2016-08-08,8.65,8.83,8.78,8.41,162839.36,0.12,1.39,8.754,9.005,9.555,166623.76,237147.18,244170.35,1.43
2016-08-05,8.88,8.88,8.66,8.52,126624.2,-0.17,-1.93,8.686,9.166,9.611,175449.25,246707.4,257751.33,1.11
2016-08-04,8.72,9.04,8.83,8.68,136680.33,-0.03,-0.34,8.666,9.3,9.659,213002.67,270731.8,279339.76,1.2
2016-08-03,8.65,8.98,8.86,8.54,245293.62,0.22,2.55,8.704,9.403,9.712,278337.86,276157.17,282893.98,2.16
2016-08-02,8.49,8.67,8.64,8.37,161681.3,0.2,2.37,8.936,9.492,9.719,305195.49,274130.71,292766.05,1.42
2016-08-01,8.49,8.51,8.44,8.2,206966.8,-0.12,-1.4,9.256,9.634,9.715,307670.6,275076.98,312739.28,1.82
2016-07-29,8.87,8.87,8.56,8.39,314391.28,-0.46,-5.1,9.646,9.812,9.699,317965.55,275185.99,312018.65,2.76
2016-07-28,10.13,10.25,9.02,9.02,463356.28,-1.0,-9.98,9.934,9.962,9.639,328460.92,258742.25,300263.95,4.07
2016-07-27,10.32,10.86,10.02,9.85,379581.78,-0.22,-2.15,10.102,10.063,9.554,273976.48,230552.61,281159.15,3.34
2016-07-26,10.34,10.38,10.24,10.1,174056.84,-0.15,-1.44,10.048,10.091,9.415,243065.93,221034.28,265895.31,1.53
2016-07-25,9.77,10.45,10.39,9.65,258441.56,0.39,3.9,10.012,10.105,9.268,242483.37,251193.51,261584.31,2.27
2016-07-22,10.07,10.68,10.0,9.93,366868.16,0.14,1.42,9.978,10.056,9.108,232406.43,268795.26,251720.21,3.23
2016-07-21,9.79,9.87,9.86,9.5,190934.05,0.11,1.13,9.99,10.017,8.965,189023.58,287947.73,239619.08,1.68
2016-07-20,10.13,10.2,9.75,9.51,225029.02,-0.31,-3.08,10.024,10.021,8.842,187128.74,289630.8,239934.33,1.98
2016-07-19,10.12,10.4,10.06,10.0,171144.06,-0.16,-1.57,10.134,9.946,8.724,199002.63,311401.39,232550.64,1.5
2016-07-18,10.04,10.37,10.22,9.86,208056.84,0.16,1.59,10.198,9.796,8.557,259903.66,350401.58,225427.23,1.83
2016-07-15,10.08,10.36,10.06,10.0,149953.95,0.03,0.3,10.134,9.585,8.381,305184.1,348851.31,217310.47,1.32
2016-07-14,10.17,10.22,10.03,9.91,181459.81,-0.27,-2.62,10.044,9.316,8.227,386871.88,341785.65,212117.94,1.6
2016-07-13,10.39,10.96,10.3,10.16,284398.47,-0.08,-0.77,10.018,9.045,8.079,392132.86,331765.69,206029.04,2.5
2016-07-12,9.81,10.8,10.38,9.65,475649.22,0.48,4.85,9.758,8.738,7.912,423800.15,310756.34,194529.98,4.18
2016-07-11,9.77,10.27,9.9,9.52,434459.03,0.29,3.02,9.394,8.431,7.738,440899.51,271975.11,173446.2,3.82
2016-07-08,10.0,10.47,9.61,9.61,558392.88,-0.29,-2.93,9.036,8.159,7.587,392518.53,234645.15,153604.39,4.91
2016-07-07,8.93,9.9,9.9,8.91,207764.72,0.9,10.0,8.588,7.912,7.451,296699.42,191290.44,127928.21,1.83
2016-07-06,8.5,9.32,9.0,8.35,442734.91,0.44,5.14,8.072,7.662,7.305,271398.51,190237.87,121178.99,3.89
2016-07-05,8.5,8.75,8.56,8.33,561146.0,0.45,5.55,7.718,7.501,7.226,197712.54,153699.89,103801.98,4.93
2016-07-04,7.66,8.11,8.11,7.58,192554.12,0.74,10.04,7.468,7.317,7.187,103050.71,100452.88,78803.66,1.69
2016-07-01,7.36,7.45,7.37,7.27,79297.37,0.05,0.68,7.282,7.176,7.172,76771.77,85769.63,72524.69,0.7
2016-06-30,7.24,7.46,7.32,7.2,81260.17,0.09,1.25,7.236,7.138,7.198,85881.45,82450.24,72377.81,0.71
2016-06-29,7.32,7.39,7.23,7.17,74305.02,-0.08,-1.09,7.252,7.112,7.213,109077.22,80292.39,71770.88,0.65
2016-06-28,7.1,7.35,7.31,7.08,87836.89,0.13,1.81,7.284,7.086,7.228,109687.25,78303.62,71670.95,0.77
2016-06-27,7.1,7.2,7.18,7.03,61159.41,0.04,0.56,7.166,7.045,7.244,97855.05,74917.28,70737.25,0.54
2016-06-24,7.49,7.49,7.14,6.88,124845.75,-0.26,-3.51,7.07,7.014,7.269,94767.5,72563.63,70889.43,1.1
2016-06-23,7.5,7.84,7.4,7.39,197239.05,0.01,0.14,7.04,6.99,7.294,79019.02,64565.98,68898.03,1.73
2016-05-20,6.7,7.39,7.39,6.65,77355.16,0.67,9.97,6.972,6.948,7.313,51507.56,52120.1,66406.69,1.93
