date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-12,36.12,36.47,35.65,35.2,78677.33,-2.18,-5.76,37.64,40.439,40.143,115108.2,137343.89,159208.69,16.02
2016-09-09,37.69,38.35,37.75,37.49,94588.87,0.04,0.11,38.726,41.36,40.246,119845.29,153851.7,164764.08,19.26
2016-09-08,37.88,38.28,37.76,37.16,89460.82,-0.23,-0.6,39.342,41.665,40.072,131254.25,162980.99,170920.17,18.22
2016-09-07,38.7,38.72,37.99,37.73,111856.41,-1.04,-2.67,40.744,41.875,39.743,140328.55,170922.0,173639.81,22.78
2016-09-06,40.46,40.77,39.05,37.91,200957.58,-2.03,-4.94,42.43,41.849,39.294,159002.15,172187.95,169958.18,40.93
2016-09-05,40.9,41.99,41.08,39.48,102362.75,0.23,0.56,43.238,41.688,38.79,159579.59,161337.12,161744.06,20.85
2016-09-02,44.8,44.8,40.83,40.35,151633.69,-4.0,-8.92,43.994,41.258,38.173,187858.11,165056.12,158102.44,30.88
2016-09-01,45.48,46.05,44.77,44.48,134832.34,-1.71,-3.68,43.988,41.095,37.55,194707.72,168667.05,151866.44,27.46
2016-08-31,43.1,46.8,46.42,42.5,205224.38,3.3,7.65,43.006,40.916,36.754,201515.44,180819.9,147116.6,41.8
2016-08-30,44.73,45.58,43.09,42.0,203844.77,-1.77,-3.95,41.268,40.18,35.892,185373.74,180841.61,139905.52,41.52
2016-08-29,40.0,44.86,44.86,39.47,243755.36,4.08,10.01,40.138,39.846,35.133,163094.66,181073.48,131214.47,49.64
2016-08-26,39.4,42.45,40.8,39.03,185881.77,0.98,2.46,38.522,39.131,34.252,142254.14,175676.47,120573.12,37.86
2016-08-25,37.0,40.5,39.86,36.5,168870.92,2.19,5.81,38.202,38.479,33.623,142626.38,178859.35,113148.5,34.39
2016-08-24,37.5,38.19,37.73,36.52,124515.9,0.35,0.94,38.826,37.61,33.037,160124.36,176357.62,106832.27,25.36
2016-08-23,37.01,37.66,37.44,36.18,92449.35,0.63,1.71,39.092,36.739,32.567,176309.47,167728.42,103378.25,18.83
2016-08-22,39.4,39.4,36.78,36.63,139552.75,-2.31,-5.91,39.554,35.891,32.219,199052.3,162151.0,100683.02,28.42
2016-08-19,41.0,41.8,39.2,38.68,187743.0,-3.78,-8.79,39.74,35.088,31.88,209098.8,151148.76,95642.17,38.24
2016-08-18,38.6,42.98,42.98,38.23,256360.8,3.91,10.01,38.756,34.004,31.421,215092.31,135065.82,89600.05,52.21
2016-08-17,39.49,41.9,39.06,37.78,205441.45,-0.67,-1.69,36.394,32.591,30.846,192590.89,113413.3,80009.36,41.84
2016-08-16,39.65,41.0,39.75,38.6,206163.48,2.04,5.41,34.386,31.604,30.529,159147.37,98969.44,71935.62,41.99
2016-08-15,35.02,37.71,37.71,35.02,189785.28,3.43,10.01,32.228,30.419,30.198,125249.71,81355.46,64381.04,38.65
2016-08-12,31.13,34.28,34.28,30.66,217710.56,3.12,10.01,30.436,29.373,29.99,93198.72,65469.78,58160.32,44.34
2016-08-11,28.9,31.89,31.17,28.1,143853.67,2.16,7.45,29.252,28.766,29.976,55039.33,47437.66,53370.62,29.3
2016-08-10,28.97,29.28,29.02,28.6,38223.88,0.11,0.38,28.788,28.463,30.076,34235.72,37306.91,49491.04,7.78
2016-08-09,28.61,29.24,28.96,28.35,36675.15,0.34,1.19,28.822,28.395,30.26,38791.51,39028.09,51619.44,7.47
2016-08-08,28.45,28.76,28.75,27.05,29530.35,0.36,1.27,28.61,28.547,30.465,37461.21,39215.04,54387.05,6.01
2016-08-05,28.73,29.06,28.36,28.35,26913.59,-0.49,-1.7,28.31,28.671,30.619,37740.83,40135.57,58300.72,5.48
2016-08-04,29.26,29.26,28.85,28.63,39835.61,-0.34,-1.17,28.28,28.838,30.904,39835.99,44134.29,60958.59,8.11
2016-08-03,27.76,29.98,29.19,27.64,61002.83,1.26,4.51,28.138,29.1,31.185,40378.1,46605.42,64928.59,12.42
2016-08-02,27.09,27.96,27.9,27.09,30023.69,0.66,2.42,27.968,29.453,31.433,39264.67,44901.79,68839.28,6.11
2016-08-01,28.16,28.16,27.25,26.6,30928.44,-0.98,-3.47,28.484,29.976,31.815,40968.86,47406.63,76323.18,6.3
2016-07-29,28.1,28.8,28.21,27.81,37389.4,0.08,0.28,29.032,30.606,32.195,42530.31,50850.87,84454.67,7.61
2016-07-28,28.3,28.58,28.14,27.0,42546.15,-0.21,-0.74,29.396,31.186,32.554,48432.58,59303.59,94429.93,8.67
2016-07-27,30.53,30.75,28.34,27.58,55435.66,-2.15,-7.05,30.062,31.689,32.805,52832.74,61675.16,104656.04,11.29
2016-07-26,29.96,30.75,30.48,29.88,38544.67,0.48,1.6,30.938,32.125,33.027,50538.92,64210.78,113412.32,7.85
2016-07-25,29.72,30.36,29.99,29.4,38735.69,0.01,0.03,31.468,32.382,32.991,53844.39,69559.06,118342.81,7.89
2016-07-22,31.3,31.31,30.03,29.86,66900.71,-1.43,-4.54,32.18,32.567,32.961,59171.43,76465.86,123901.12,13.63
2016-07-21,32.41,32.7,31.47,31.38,64546.96,-1.21,-3.7,32.976,32.969,32.833,70174.6,77782.9,126970.84,13.15
2016-07-20,33.33,33.39,32.72,32.51,43966.55,-0.39,-1.18,33.316,33.27,32.693,70517.59,83251.75,130951.85,8.95
2016-07-19,33.54,33.6,33.13,32.35,55072.05,-0.43,-1.28,33.312,33.412,32.426,77882.65,92776.77,132191.97,11.22
2016-07-18,33.5,34.1,33.55,32.99,65370.86,-0.46,-1.35,33.296,33.654,32.119,85273.73,105239.73,134230.14,13.31
2016-07-15,33.0,34.85,34.01,32.8,121916.58,0.88,2.66,32.954,33.783,31.802,93760.3,118058.48,135389.89,24.83
2016-07-14,32.51,33.33,33.17,31.98,66261.91,0.48,1.47,32.962,33.922,31.407,85391.2,129556.27,131941.49,13.5
2016-07-13,33.11,33.64,32.7,32.5,80791.86,-0.36,-1.09,33.224,33.921,31.019,95985.91,147636.92,130736.73,16.45
2016-07-12,32.0,33.2,33.05,31.32,92027.43,1.24,3.9,33.512,33.928,30.654,107670.88,162613.87,129029.98,18.74
2016-07-11,33.51,33.79,31.84,31.2,107803.71,-2.2,-6.46,34.012,33.599,30.224,125205.74,167126.55,126131.98,21.96
2016-07-08,34.5,34.96,34.05,33.58,80071.07,-0.45,-1.3,34.612,33.354,29.851,142356.66,171336.37,124301.64,16.31
2016-07-07,33.6,35.36,34.48,33.51,119235.5,0.39,1.14,34.882,32.697,29.504,173721.35,176158.78,124218.87,24.28
2016-07-06,35.56,35.6,34.14,33.9,139216.7,-1.4,-3.94,34.618,32.115,29.18,199287.93,178651.94,123710.22,28.35
2016-07-05,34.68,36.25,35.55,34.17,179701.72,0.71,2.04,34.344,31.439,28.804,217556.85,171607.18,119033.89,36.6
2016-07-04,33.99,35.3,34.84,33.16,193558.31,-0.54,-1.53,33.186,30.584,28.371,209047.37,163220.54,113807.62,39.42
2016-07-01,33.5,36.3,35.4,32.74,236894.53,2.24,6.75,32.096,29.82,28.01,200316.09,152721.29,108631.65,48.25
2016-06-30,31.55,34.49,33.16,31.23,247068.41,0.39,1.19,30.512,28.892,27.598,178596.21,134326.71,102627.31,50.32
2016-06-29,29.6,32.77,32.77,29.33,230561.27,2.98,10.0,29.612,28.116,27.268,158015.95,113836.53,96151.62,46.96
2016-06-28,29.75,30.87,29.76,29.59,137154.31,0.38,1.29,28.534,27.38,26.887,125657.51,95446.1,88265.26,27.93
2016-06-27,26.95,30.0,29.39,26.95,149901.91,1.9,6.91,27.982,26.849,26.629,117393.72,85137.41,84782.46,30.53
2016-06-24,28.4,28.64,27.48,26.36,128295.15,-1.17,-4.08,27.544,26.348,26.392,105126.5,77266.91,79713.6,26.13
2016-06-23,27.22,28.7,28.66,27.11,144167.09,1.29,4.71,27.272,26.31,26.232,90057.21,72278.96,76165.95,29.36
