date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-12,66.51,67.64,66.19,65.2,18496.43,-3.01,-4.35,68.844,70.332,71.988,21878.39,28426.45,40138.55,7.4
2016-09-09,69.8,71.0,69.2,68.73,19616.93,-0.82,-1.17,69.554,71.078,72.412,22318.7,30923.38,42013.61,7.85
2016-09-08,68.8,70.8,70.02,68.52,23283.96,1.52,2.22,69.614,71.724,72.576,24339.34,35694.42,43483.56,9.31
2016-09-07,70.39,70.67,68.5,68.38,21662.88,-1.81,-2.57,69.928,72.704,72.691,27349.13,44375.13,45562.82,8.67
2016-09-06,69.3,70.78,70.31,67.66,26331.76,0.57,0.82,71.104,73.244,73.107,32759.22,47176.87,48345.58,10.53
2016-09-05,70.0,71.26,69.74,69.6,20697.96,0.24,0.34,71.82,73.235,73.207,34974.5,47079.84,49702.78,8.28
2016-09-02,71.0,71.77,69.5,69.38,29720.16,-2.09,-2.92,72.602,73.12,73.196,39528.05,48146.42,50276.11,11.89
2016-09-01,73.92,74.35,71.59,71.0,38332.87,-2.79,-3.75,73.834,73.395,73.179,47049.49,48733.22,50428.02,15.33
2016-08-31,73.0,75.12,74.38,70.11,48713.35,0.49,0.66,75.48,73.632,73.066,61401.14,50006.5,50502.25,19.49
2016-08-30,74.55,75.9,73.89,73.16,37408.15,0.24,0.33,75.384,73.694,72.878,61594.52,50892.25,50924.35,14.96
2016-08-29,76.23,77.46,73.65,72.5,43465.74,-2.01,-2.66,74.65,73.645,72.535,59185.19,51850.65,50947.41,17.39
2016-08-26,78.23,80.0,75.66,75.2,67327.35,-4.16,-5.21,73.638,73.746,72.142,56764.78,53103.84,50589.47,26.93
2016-08-25,72.79,81.29,79.82,72.02,110091.12,5.92,8.01,72.956,73.427,71.613,50416.96,51272.71,49121.48,44.04
2016-08-24,70.0,74.59,73.9,69.5,49680.24,3.68,5.24,71.784,72.678,70.947,38611.86,46750.51,45877.03,19.87
2016-08-23,68.49,71.55,70.22,68.49,25361.48,1.63,2.38,72.004,72.97,70.423,40189.98,49514.28,45610.42,10.14
2016-08-22,72.07,72.87,68.59,68.06,31363.73,-3.66,-5.07,72.64,73.179,70.436,44516.12,52325.72,45406.27,12.55
2016-08-19,73.03,74.46,72.25,71.88,35588.22,-1.71,-2.31,73.854,73.272,70.524,49442.9,52405.79,45057.69,14.24
2016-08-18,75.2,77.2,73.96,73.44,51065.61,-1.04,-1.39,73.898,72.962,70.399,52128.46,52122.82,44961.93,20.43
2016-08-17,72.5,76.88,75.0,72.5,57570.84,1.6,2.18,73.572,72.5,70.355,54889.16,50998.0,44637.97,23.03
2016-08-16,74.66,75.6,73.4,73.35,46992.19,-1.26,-1.69,73.936,72.062,70.475,58838.59,50956.45,44410.87,18.8
2016-08-15,72.47,75.99,74.66,69.8,55997.66,2.19,3.02,73.718,71.424,70.714,60135.32,50044.18,44776.79,22.4
2016-08-12,71.54,74.33,72.47,70.61,49016.02,0.14,0.19,72.69,70.538,70.731,55368.68,48075.09,44480.9,19.61
2016-08-11,75.6,78.32,72.33,72.3,64869.09,-4.49,-5.84,72.026,69.799,70.974,52117.18,46970.26,45398.58,25.95
2016-08-10,70.87,79.3,76.82,70.5,77318.0,4.51,6.24,71.428,69.216,71.022,47106.84,45003.56,44116.97,30.93
2016-08-09,69.6,73.5,72.31,69.05,53475.83,2.79,4.01,70.188,67.876,70.771,43074.31,41706.56,42820.04,21.39
2016-08-08,67.99,69.69,69.52,65.06,32164.48,0.37,0.54,69.13,67.692,70.765,39953.04,38486.81,43464.77,12.87
2016-08-05,68.5,71.18,69.15,68.48,32758.48,-0.19,-0.27,68.386,67.776,70.866,40781.5,37709.58,45255.42,13.1
2016-08-04,69.33,71.0,69.34,68.51,39817.42,-1.28,-1.81,67.572,67.836,71.383,41823.34,37801.05,46604.06,15.93
2016-08-03,66.0,71.0,70.62,66.0,57155.35,3.6,5.37,67.004,68.209,71.89,42900.27,38277.94,47239.61,22.86
2016-08-02,65.5,67.69,67.02,64.5,37869.45,1.22,1.85,65.564,68.887,72.373,40338.82,37865.3,48210.55,15.15
2016-08-01,63.5,66.99,65.8,60.0,36306.8,0.72,1.11,66.254,70.004,73.292,37020.59,39509.4,51760.5,14.52
2016-07-29,64.64,67.97,65.08,64.39,37967.67,-1.42,-2.13,67.166,70.924,74.238,34637.66,40886.71,54423.79,15.19
2016-07-28,63.21,66.68,66.5,60.2,45202.09,3.08,4.86,68.1,72.149,74.835,33778.76,43826.9,57150.72,18.08
2016-07-27,71.0,71.0,63.42,63.42,44348.08,-7.05,-10.0,69.414,72.828,75.011,33655.61,43230.39,57868.76,17.74
2016-07-26,70.28,71.94,70.47,69.8,21278.32,0.11,0.16,72.21,73.666,75.244,35391.78,43933.52,59142.67,8.51
2016-07-25,69.95,71.36,70.36,67.6,24392.15,0.61,0.88,73.754,73.839,75.288,41998.21,48442.72,61513.58,9.76
2016-07-22,72.15,74.0,69.75,69.5,33673.16,-3.32,-4.54,74.682,73.956,75.22,47135.76,52801.26,63490.35,13.47
2016-07-21,76.41,77.19,73.07,73.0,44586.36,-4.33,-5.59,76.198,74.929,75.208,53875.03,55407.08,66447.62,17.83
2016-07-20,78.66,81.6,77.4,77.01,53028.89,-0.79,-1.01,76.242,75.571,75.072,52805.16,56201.29,70332.32,21.21
2016-07-19,74.0,78.2,78.19,73.1,54310.47,3.19,4.25,75.122,75.858,74.721,52475.26,58555.81,71970.28,21.72
2016-07-18,75.5,79.13,75.0,72.99,50079.92,-2.33,-3.01,73.924,76.579,74.011,54887.24,64011.61,73511.45,20.03
2016-07-15,74.0,79.98,77.33,73.01,67369.52,4.04,5.51,73.23,77.551,73.412,58466.75,67960.87,75121.77,26.95
2016-07-14,71.1,73.65,73.29,71.01,39237.01,1.49,2.08,73.66,77.52,72.488,56939.13,70474.55,74715.34,15.69
2016-07-13,71.69,74.39,71.8,69.88,51379.36,-0.4,-0.55,74.9,77.193,71.689,59597.41,72507.13,76252.24,20.55
