date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2015-04-29,10.38,10.38,10.38,10.38,81841.68,0.49,4.95,9.44,8.415,6.884,19806.9,10642.54,14244.77,2.48
2015-04-28,9.89,9.89,9.89,9.89,8376.17,0.47,4.99,8.99,8.014,6.61,3626.15,2503.01,11302.13,0.25
2015-04-27,9.42,9.42,9.42,9.42,4834.17,0.45,5.02,8.56,7.632,6.363,2015.6,1702.87,12208.95,0.15
2015-04-24,8.97,8.97,8.97,8.97,2748.58,0.43,5.04,8.15,7.268,6.143,1405.85,1267.27,13604.67,0.08
2015-04-23,8.54,8.54,8.54,8.54,1233.91,0.41,5.04,7.76,6.921,5.948,1654.12,1087.61,19169.65,0.04
2015-04-22,8.13,8.13,8.13,8.13,937.94,0.39,5.04,7.39,6.591,5.763,1478.17,1053.1,21295.6,0.03
2015-04-21,7.74,7.74,7.74,7.74,323.39,0.37,5.02,7.038,6.277,5.592,1379.87,4628.91,22021.33,0.01
2015-04-20,7.37,7.37,7.37,7.37,1785.45,0.35,4.99,6.704,5.992,5.441,1390.14,8044.85,23425.2,0.05
2015-04-17,7.02,7.02,7.02,7.02,3989.92,0.33,4.93,6.386,5.741,5.308,1128.68,12844.85,23919.23,0.12
2015-04-16,6.69,6.69,6.69,6.69,354.17,0.32,5.02,6.082,5.531,5.193,521.1,16265.59,25147.64,0.01
2015-04-15,6.37,6.37,6.37,6.37,446.42,0.3,4.94,5.792,5.353,5.094,628.03,17847.01,25625.09,0.01
2015-04-14,6.07,6.07,6.07,6.07,374.76,0.29,5.02,5.516,5.205,5.01,7877.95,20101.24,26553.79,0.01
2015-04-13,5.78,5.78,5.78,5.78,478.15,0.28,5.09,5.28,5.093,4.939,14699.56,22715.02,27886.67,0.01
2015-04-10,5.5,5.5,5.5,5.5,952.0,0.26,4.96,5.096,5.018,4.886,24561.01,25942.07,28677.17,0.03
2015-04-09,5.24,5.24,5.24,5.24,888.81,0.25,5.01,4.98,4.974,4.847,32010.07,37251.68,29625.34,0.03
2014-07-31,4.88,5.06,4.99,4.87,36696.02,0.1,2.04,4.914,4.934,4.819,35065.99,41538.1,30342.03,1.11
2014-07-30,4.86,4.95,4.89,4.82,34482.8,0.03,0.62,4.894,4.907,4.804,32324.54,39413.74,29792.68,1.05
2014-07-29,4.92,4.92,4.86,4.83,49785.4,-0.06,-1.22,4.906,4.889,4.796,30730.48,38805.55,29296.2,1.51
2014-07-28,4.92,4.94,4.92,4.85,38197.34,0.01,0.2,4.94,4.875,4.792,27323.12,34993.62,29013.07,1.16
2014-07-25,4.89,4.96,4.91,4.86,16168.39,0.02,0.41,4.968,4.855,4.777,42493.28,34029.69,28700.36,0.49
2014-07-24,4.94,4.98,4.89,4.83,22988.76,-0.06,-1.21,4.954,4.834,4.764,48010.2,33403.18,29470.95,0.7
2014-07-23,5.04,5.04,4.95,4.94,26512.53,-0.08,-1.59,4.92,4.814,4.755,46502.95,33006.34,29909.26,0.8
2014-07-22,5.02,5.07,5.03,4.95,32748.6,-0.03,-0.59,4.872,4.785,4.744,46880.63,33058.33,31039.04,0.99
2014-07-21,4.85,5.08,5.06,4.8,114048.14,0.22,4.54,4.81,4.753,4.727,42664.13,31412.27,33988.68,3.46
2014-07-18,4.73,4.94,4.84,4.73,43752.98,0.12,2.54,4.742,4.72,4.699,25566.09,21999.0,29509.71,1.33
