date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-12,14.9,16.37,15.44,14.81,481575.78,0.35,2.32,15.748,16.349,14.231,343037.96,544939.68,274358.14,16.05
2016-09-09,15.77,15.83,15.09,15.02,365132.75,-0.73,-4.61,15.924,16.597,13.805,304237.09,497740.76,250333.04,12.17
2016-09-08,16.0,16.19,15.81,15.74,239932.0,-0.19,-1.19,16.222,16.717,13.737,308858.33,462264.14,244290.95,8.0
2016-09-07,16.32,16.33,15.99,15.98,316732.28,-0.42,-2.56,16.424,16.617,13.622,375608.81,439100.19,244533.11,10.56
2016-09-06,16.37,16.43,16.41,16.01,311816.97,0.08,0.49,16.67,16.364,13.482,502352.96,407646.71,240286.1,10.39
2016-09-05,16.69,16.75,16.32,16.26,287571.44,-0.27,-1.63,16.95,15.947,13.299,746841.39,376738.74,235815.42,9.59
2016-09-02,16.68,16.93,16.58,16.45,388238.97,-0.27,-1.6,17.27,15.428,13.098,691244.44,348152.31,232365.02,12.94
2016-09-01,16.9,17.47,16.82,16.66,573684.38,-0.39,-2.27,17.212,14.782,12.849,615669.94,309496.16,221231.16,19.12
2016-08-31,17.68,17.68,17.22,16.61,950453.06,-0.59,-3.31,16.81,14.02,12.544,502591.57,252170.55,194119.38,31.68
2016-08-30,19.71,19.71,17.81,17.71,1534259.12,-0.11,-0.61,16.058,13.134,12.154,312940.45,157153.24,131091.57,51.14
2016-08-29,17.92,17.92,17.92,17.92,9586.65,1.63,10.01,14.944,12.113,11.64,6636.08,3776.6,3530.89,0.32
2016-08-26,16.29,16.29,16.29,16.29,10366.48,1.48,9.99,13.586,11.012,11.012,5060.18,2925.31,2925.31,0.35
2016-08-25,14.81,14.81,14.81,14.81,8292.54,1.35,10.03,12.352,10.426,10.426,3322.39,2098.51,2098.51,0.28
2016-08-24,13.46,13.46,13.46,13.46,2197.47,1.22,9.97,11.23,9.878,9.878,1749.53,1324.26,1324.26,0.07
2016-08-23,12.24,12.24,12.24,12.24,2737.26,1.11,9.97,10.21,9.366,9.366,1366.03,1199.52,1199.52,0.09
2016-08-22,11.13,11.13,11.13,11.13,1707.17,1.01,9.98,9.282,8.887,8.887,917.12,943.23,943.23,0.06
2016-08-19,10.12,10.12,10.12,10.12,1677.51,0.92,10.0,8.438,8.438,8.438,790.44,790.44,790.44,0.06
2016-08-18,9.2,9.2,9.2,9.2,428.22,0.84,10.05,8.018,8.018,8.018,568.67,568.67,568.67,0.01
2016-08-17,8.36,8.36,8.36,8.36,280.0,0.76,10.0,7.623,7.623,7.623,615.48,615.48,615.48,0.01
2016-08-16,7.6,7.6,7.6,7.6,492.69,0.69,9.99,7.255,7.255,7.255,783.23,783.23,783.23,0.02
2016-08-15,5.76,6.91,6.91,5.76,1073.76,2.11,43.96,6.91,6.91,6.91,1073.76,1073.76,1073.76,0.04
