date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-12,20.78,20.78,20.78,20.78,242.53,1.89,10.01,17.328,14.043,14.043,80.14,57.03,57.03,0.1
2016-09-09,18.89,18.89,18.89,18.89,47.0,1.72,10.02,15.752,13.294,13.294,38.83,36.42,36.42,0.02
2016-09-08,17.17,17.17,17.17,17.17,45.0,1.56,9.99,14.32,12.595,12.595,33.83,35.09,35.09,0.02
2016-09-07,15.61,15.61,15.61,15.61,10.0,1.42,10.01,13.018,11.941,11.941,32.95,33.68,33.68,0.0
2016-09-06,14.19,14.19,14.19,14.19,56.16,1.29,10.0,11.834,11.33,11.33,36.95,37.62,37.62,0.02
2016-09-05,12.9,12.9,12.9,12.9,36.0,1.17,9.97,10.758,10.758,10.758,33.92,33.92,33.92,0.02
2016-09-02,11.73,11.73,11.73,11.73,22.01,1.07,10.04,10.223,10.223,10.223,33.4,33.4,33.4,0.01
2016-09-01,10.66,10.66,10.66,10.66,40.57,0.97,10.01,9.72,9.72,9.72,37.19,37.19,37.19,0.02
2016-08-31,9.69,9.69,9.69,9.69,30.0,0.88,9.99,9.25,9.25,9.25,35.5,35.5,35.5,0.01
2016-08-30,7.34,8.81,8.81,7.34,41.0,2.69,43.95,8.81,8.81,8.81,41.0,41.0,41.0,0.02
