date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-12,30.6,30.98,29.86,29.77,382601.88,-1.7,-5.39,31.982,33.052,31.934,406327.9,533818.44,519376.17,8.19
2016-09-09,32.44,32.77,31.54,31.54,461717.62,-1.22,-3.72,32.568,33.537,31.38,466765.31,621435.48,500338.03,9.89
2016-09-08,32.8,33.35,32.77,32.47,385039.22,0.11,0.34,33.124,34.234,30.657,477389.41,709410.46,477345.74,8.24
2016-09-07,33.0,33.35,32.63,32.62,331117.19,-0.51,-1.54,33.482,34.84,29.795,527763.73,909437.48,458127.54,7.09
2016-09-06,32.44,33.26,33.11,32.26,471163.59,0.31,0.94,33.888,35.239,28.87,618513.82,876896.1,441606.91,10.09
2016-09-05,34.3,34.5,32.79,32.78,684788.94,-1.55,-4.51,34.122,35.257,27.856,661308.99,831226.05,418138.89,14.66
2016-09-02,34.18,35.0,34.32,33.85,514838.12,-0.19,-0.55,34.506,35.004,27.596,776105.65,765160.98,404104.68,11.02
2016-09-01,34.25,35.15,34.56,33.69,636910.81,-0.1,-0.29,35.344,34.323,27.223,941431.5,714809.33,397952.82,13.64
2016-08-31,34.15,35.08,34.66,33.31,784867.62,0.39,1.14,36.198,33.368,26.791,1291111.24,651480.85,383896.47,16.81
2016-08-30,35.33,35.68,34.28,34.08,685139.44,-0.46,-1.32,36.59,32.176,26.299,1135278.38,573273.1,358835.77,14.67
2016-08-29,37.56,37.56,34.71,34.71,1258772.25,-3.81,-9.89,36.392,30.815,25.767,1001143.11,504933.91,337082.19,26.95
2016-08-26,38.5,40.19,38.51,38.34,1341467.38,-0.32,-0.82,35.502,29.223,25.129,754216.3,379240.58,271247.19,28.73
2016-08-25,40.28,40.28,38.83,38.18,2385309.5,2.21,6.04,33.302,27.08,24.099,488187.15,245281.03,188922.56,51.08
2016-08-24,36.62,36.62,36.62,36.62,5703.34,3.33,10.0,30.538,24.75,22.872,11850.46,6817.59,5890.31,0.12
2016-08-23,33.29,33.29,33.29,33.29,14463.09,3.03,10.01,27.762,22.5,21.622,11267.82,6317.72,5907.31,0.31
2016-08-22,30.26,30.26,30.26,30.26,24138.2,2.75,10.0,25.238,20.455,20.455,8724.7,5051.73,5051.73,0.52
2016-08-19,27.51,27.51,27.51,27.51,11321.64,2.5,10.0,22.944,19.366,19.366,4264.85,2931.02,2931.02,0.24
2016-08-18,25.01,25.01,25.01,25.01,3626.04,2.27,9.98,20.858,18.348,18.348,2374.91,1882.19,1882.19,0.08
2016-08-17,22.74,22.74,22.74,22.74,2790.11,2.07,10.02,18.962,17.396,17.396,1784.72,1633.07,1633.07,0.06
2016-08-16,20.67,20.67,20.67,20.67,1747.51,1.88,10.01,17.238,16.505,16.505,1367.62,1440.23,1440.23,0.04
2016-08-15,18.79,18.79,18.79,18.79,1838.95,1.71,10.01,15.672,15.672,15.672,1378.77,1378.77,1378.77,0.04
2016-08-12,17.08,17.08,17.08,17.08,1871.96,1.55,9.98,14.893,14.893,14.893,1263.72,1263.72,1263.72,0.04
2016-08-11,15.53,15.53,15.53,15.53,675.05,1.41,9.99,14.163,14.163,14.163,1060.98,1060.98,1060.98,0.01
2016-08-10,14.12,14.12,14.12,14.12,704.64,1.28,9.97,13.48,13.48,13.48,1253.94,1253.94,1253.94,0.02
2016-08-09,10.7,12.84,12.84,10.7,1803.24,3.92,43.95,12.84,12.84,12.84,1803.24,1803.24,1803.24,0.04
