date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-12,83.05,83.59,80.68,80.68,7924.0,-4.11,-4.85,83.904,84.1,85.801,6142.83,5555.9,7212.02,2.21
2016-09-09,84.84,85.88,84.79,84.71,6385.07,0.15,0.18,84.444,84.443,86.166,5274.63,5106.96,7445.71,1.78
2016-09-08,84.55,85.18,84.64,84.0,3231.96,0.41,0.49,84.172,84.401,86.106,4942.2,4997.63,7370.71,0.9
2016-09-07,85.3,85.89,84.23,83.9,5998.55,-0.95,-1.11,84.164,84.422,86.029,5174.01,5539.88,7583.6,1.67
2016-09-06,83.8,85.98,85.18,82.61,7174.55,1.8,2.16,84.314,84.517,86.107,5262.49,6503.16,7542.23,2.0
2016-09-05,83.9,84.38,83.38,83.3,3583.0,-0.05,-0.06,84.296,84.841,86.158,4968.98,6586.19,7514.95,1.0
2016-09-02,84.8,84.8,83.43,83.02,4722.93,-1.17,-1.38,84.442,85.509,86.203,4939.3,7626.05,7531.64,1.32
2016-09-01,85.4,86.0,84.6,84.46,4391.01,-0.38,-0.45,84.63,86.066,86.211,5053.06,7700.63,7494.57,1.22
2016-08-31,85.49,85.84,84.98,84.2,6440.96,-0.11,-0.13,84.68,86.535,86.214,5905.75,7952.93,7565.64,1.8
2016-08-30,84.09,87.66,85.09,84.01,5706.98,0.98,1.17,84.72,87.059,86.219,7743.83,8285.48,7579.2,1.59
2016-08-29,84.37,84.88,84.11,83.85,3434.62,-0.26,-0.31,85.386,87.501,86.177,8203.41,8868.14,7548.53,0.96
2016-08-26,84.85,85.67,84.37,84.2,5291.75,-0.48,-0.57,86.576,87.888,86.107,10312.8,9784.46,7671.37,1.48
2016-08-25,85.08,85.4,84.85,82.19,8654.45,-0.33,-0.39,87.502,87.811,86.139,10348.19,9743.78,7623.3,2.41
2016-08-24,87.0,87.8,85.18,84.45,15631.35,-3.24,-3.66,88.39,87.636,86.206,10000.1,9627.31,7630.1,4.36
2016-08-23,89.56,90.79,88.42,88.15,8004.88,-1.64,-1.82,89.398,87.698,86.217,8827.12,8581.3,7672.72,2.23
2016-08-22,88.32,92.18,90.06,88.32,13981.55,1.06,1.19,89.616,87.476,86.499,9532.87,8443.71,7557.62,3.9
2016-08-19,89.29,90.2,89.0,88.06,5468.72,-0.29,-0.33,89.2,86.896,86.63,9256.12,7437.23,7272.29,1.53
2016-08-18,90.24,90.45,89.29,89.15,6914.0,-0.93,-1.03,88.12,86.356,86.958,9139.38,7288.5,7355.39,1.93
2016-08-17,89.65,90.9,90.22,87.8,9766.47,0.71,0.79,86.882,85.893,87.344,9254.52,7178.35,7448.53,2.72
2016-08-16,87.68,92.2,89.51,87.68,11533.62,1.53,1.74,85.998,85.38,87.772,8335.47,6872.92,7576.2,3.22
2016-08-15,83.6,89.19,87.98,83.43,12597.8,4.38,5.24,85.336,84.854,88.136,7354.55,6228.93,7296.08,3.51
2016-08-12,83.0,83.99,83.6,82.61,4885.0,0.5,0.6,84.592,84.326,88.53,5618.34,5558.28,7116.59,1.36
2016-08-11,85.69,85.69,83.1,82.81,7489.73,-2.7,-3.15,84.592,84.467,89.3,5437.63,5502.81,7368.3,2.09
2016-08-10,86.2,86.49,85.8,85.35,5171.22,-0.4,-0.46,84.904,84.775,90.028,5102.17,5632.88,7403.22,1.44
2016-08-09,84.25,86.66,86.2,83.52,6628.98,1.94,2.3,84.762,84.735,90.612,5410.37,6764.14,7725.44,1.85
2016-08-08,83.05,84.58,84.26,82.67,3916.79,0.66,0.79,84.372,85.521,91.137,5103.31,6671.53,8348.74,1.09
2016-08-05,84.66,85.35,83.6,83.0,3981.44,-1.06,-1.25,84.06,86.363,91.797,5498.22,7107.34,8978.7,1.11
2016-08-04,84.68,84.95,84.66,83.85,5812.43,-0.43,-0.51,84.342,87.56,92.654,5567.99,7422.27,9357.46,1.62
