date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-12,25.1,25.45,24.27,24.1,48117.18,-1.65,-6.37,25.848,26.46,25.979,59222.49,81028.99,61799.48,6.4
2016-09-09,26.0,26.14,25.96,25.79,42700.82,-0.05,-0.19,26.324,26.524,26.038,62158.12,79024.78,62263.52,5.68
2016-09-08,25.8,26.13,26.02,25.5,70156.88,-0.24,-0.91,26.424,26.456,25.978,71939.65,78654.56,61427.25,9.34
2016-09-07,26.81,27.16,26.25,26.18,73244.13,-0.48,-1.8,26.736,26.387,25.905,91839.51,75243.77,60030.92,9.75
2016-09-06,26.4,26.79,26.74,25.85,61893.46,0.11,0.41,26.936,26.316,25.859,102689.16,71397.65,59267.95,8.24
2016-09-05,26.43,27.19,26.65,26.27,62795.33,0.22,0.83,27.072,26.152,25.775,102835.48,67724.36,58347.06,8.36
2016-09-02,27.01,27.14,26.46,26.2,91608.45,-1.11,-4.03,26.724,25.988,25.69,95891.43,64986.4,57527.75,12.19
2016-09-01,26.81,28.5,27.58,26.54,169656.19,0.34,1.25,26.488,25.913,25.583,85369.47,59176.74,55177.92,22.58
2016-08-31,27.58,27.8,27.25,26.45,127492.39,-0.17,-0.62,26.038,25.754,25.455,58648.03,47522.17,48740.42,16.97
2016-08-30,25.02,27.42,27.42,25.02,62625.03,2.49,9.99,25.696,25.672,25.336,40106.13,42684.67,45197.63,8.33
2016-08-29,25.12,25.4,24.91,24.83,28075.08,-0.37,-1.46,25.232,25.498,25.176,32613.23,42569.98,43867.34,3.74
2016-08-26,25.08,25.69,25.28,25.08,38998.68,-0.05,-0.2,25.252,25.552,25.124,34081.37,45502.26,44726.54,5.19
2016-08-25,25.51,25.52,25.33,24.8,36048.95,-0.21,-0.82,25.338,25.5,25.109,32984.01,44199.93,44997.13,4.8
2016-08-24,25.28,25.72,25.54,25.05,34782.9,0.45,1.79,25.47,25.423,25.122,36396.31,44818.06,47165.7,4.63
2016-08-23,25.07,25.28,25.1,24.8,25160.55,0.08,0.32,25.648,25.402,25.183,45263.21,47138.26,50685.87,3.35
2016-08-22,25.75,26.05,25.01,25.0,35415.77,-0.67,-2.61,25.764,25.397,25.414,52526.73,48969.76,50905.29,4.71
2016-08-19,26.05,26.18,25.71,25.49,33511.9,-0.28,-1.08,25.852,25.392,25.645,56923.15,50069.1,51234.03,4.46
2016-08-18,26.33,26.63,25.99,25.82,53110.43,-0.44,-1.67,25.662,25.252,25.819,55415.84,51179.09,52428.02,7.07
2016-08-17,25.4,26.79,26.43,25.31,79117.41,0.74,2.88,25.376,25.156,26.017,53239.82,49958.67,51907.21,10.53
2016-08-16,25.47,26.08,25.68,25.47,61478.13,0.25,0.98,25.156,25.0,26.21,49013.3,47710.58,50262.55,8.18
2016-08-15,24.95,25.48,25.45,24.58,57397.88,0.7,2.83,25.03,24.854,26.46,45412.79,45164.7,50532.19,7.64
2016-08-12,24.39,24.86,24.76,24.31,25975.36,0.2,0.81,24.932,24.696,26.668,43215.06,43950.82,50801.57,3.46
2016-08-11,25.17,25.17,24.56,24.51,42230.32,-0.76,-3.0,24.842,24.718,26.952,46942.34,45794.34,52219.89,5.62
2016-08-10,25.1,25.83,25.33,25.1,57984.81,0.28,1.12,24.936,24.821,27.26,46677.52,49513.34,53204.69,7.72
2016-08-09,24.88,25.2,25.05,24.67,43475.58,0.09,0.36,24.844,24.963,27.546,46407.87,54233.49,54319.41,5.79
2016-08-08,24.05,25.1,24.96,24.05,46409.22,0.65,2.67,24.678,25.43,27.841,44916.61,52840.82,58710.29,6.18
