date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-12,22.12,22.43,21.77,21.76,19298.2,-0.84,-3.71,22.588,22.569,22.745,19936.12,18275.28,27534.34,3.03
2016-09-09,22.98,22.99,22.61,22.56,16352.51,-0.3,-1.31,22.708,22.696,22.758,18199.01,19377.98,28792.59,2.56
2016-09-08,22.6,22.99,22.91,22.6,17824.45,0.13,0.57,22.64,22.713,22.708,17348.21,19744.15,28796.13,2.8
2016-09-07,22.89,23.16,22.78,22.73,23933.01,-0.09,-0.39,22.548,22.694,22.643,17604.19,20685.78,29058.49,3.75
2016-09-06,22.55,22.89,22.87,22.2,22272.44,0.5,2.23,22.558,22.723,22.615,16858.96,21071.89,29983.17,3.49
2016-09-05,22.34,22.68,22.37,22.34,10612.62,0.1,0.45,22.55,22.712,22.562,16614.44,21345.69,30967.94,1.66
2016-09-02,22.3,22.59,22.27,22.19,12098.55,-0.18,-0.8,22.684,22.725,22.534,20556.95,23522.95,31408.71,1.9
2016-09-01,22.63,22.9,22.45,22.45,19104.32,-0.38,-1.66,22.786,22.82,22.511,22140.09,26901.1,32425.84,3.0
2016-08-31,22.61,22.97,22.83,22.4,20206.88,0.0,0.0,22.84,22.852,22.521,23767.38,28990.11,32714.41,3.17
2016-08-30,23.04,23.27,22.83,22.75,21049.81,-0.21,-0.91,22.888,22.896,22.481,25284.82,32138.73,32287.87,3.3
2016-08-29,22.9,23.2,23.04,22.5,30325.2,0.26,1.14,22.874,22.92,22.443,26076.94,36793.4,31819.69,4.76
2016-08-26,22.9,23.32,22.78,22.56,20014.23,0.06,0.26,22.766,22.82,22.382,26488.95,38207.2,31196.19,3.14
2016-08-25,22.85,22.91,22.72,21.9,27240.76,-0.35,-1.52,22.854,22.703,22.353,31662.11,37848.11,30954.21,4.27
2016-08-24,22.78,23.35,23.07,22.78,27794.12,0.31,1.36,22.864,22.591,22.328,34212.83,37431.21,30957.95,4.36
2016-08-23,22.57,23.1,22.76,22.31,25010.4,0.26,1.16,22.904,22.506,22.297,38992.65,38894.44,32146.55,3.92
2016-08-22,23.0,23.19,22.5,22.5,32385.23,-0.72,-3.1,22.966,22.411,22.375,47509.85,40590.19,32107.77,5.08
2016-08-19,23.05,23.5,23.22,22.78,45880.05,0.45,1.98,22.874,22.342,22.459,49925.45,39294.47,31263.07,7.2
2016-08-18,22.98,23.5,22.77,22.56,39994.37,-0.5,-2.15,22.552,22.202,22.517,44034.11,37950.58,29971.91,6.27
2016-08-17,23.2,23.84,23.27,23.1,51693.18,0.2,0.87,22.318,22.19,22.613,40649.58,36438.73,28890.57,8.11
2016-08-16,22.27,23.92,23.07,22.27,67596.42,1.03,4.67,22.108,22.066,22.691,38796.23,32436.99,27423.43,10.6
2016-08-15,21.64,22.25,22.04,21.61,44463.23,0.43,1.99,21.856,21.966,22.791,33670.54,26845.99,25105.53,6.97
2016-08-12,21.4,21.7,21.61,21.4,16423.35,0.01,0.05,21.81,21.943,22.93,28663.48,24185.18,23907.38,2.58
2016-08-11,21.97,22.07,21.6,21.6,23071.71,-0.62,-2.79,21.852,22.002,23.092,31867.04,24060.3,24417.72,3.62
2016-08-10,21.81,22.29,22.22,21.74,42426.46,0.41,1.88,22.062,22.064,23.274,32227.87,24484.7,24605.07,6.65
2016-08-09,21.85,21.86,21.81,21.7,41967.94,0.0,0.0,22.024,22.088,23.417,26077.76,25398.66,24515.18,6.58
2016-08-08,21.67,21.99,21.81,21.31,19427.95,-0.01,-0.05,22.076,22.338,23.589,20021.44,23625.34,26431.7,3.05
2016-08-05,22.4,22.4,21.82,21.8,32441.16,-0.83,-3.66,22.076,22.575,23.786,19706.88,23231.68,29001.43,5.09
2016-08-04,22.05,23.0,22.65,21.82,24875.85,0.62,2.81,22.152,22.831,23.998,16253.56,21993.24,30283.65,3.9
2016-08-03,21.91,22.13,22.03,21.81,11675.88,-0.04,-0.18,22.066,23.036,24.169,16741.53,21342.41,32283.98,1.83
2016-08-02,22.0,22.09,22.07,21.85,11686.35,0.26,1.19,22.152,23.315,24.403,24719.57,22409.86,36111.73,1.83
