date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-09-12,46.2,47.95,47.2,45.78,26987.69,-0.85,-1.77,49.086,51.201,54.579,27569.03,33614.41,55113.26,9.31
2016-09-09,49.05,49.43,48.05,48.03,26897.98,-1.0,-2.04,49.756,51.788,55.245,29759.1,34076.85,60635.3,9.28
2016-09-08,49.9,50.13,49.05,48.9,25811.85,-0.76,-1.53,50.738,52.528,55.808,31144.93,36409.91,67020.4,8.9
2016-09-07,51.29,51.29,49.81,49.8,27703.89,-1.51,-2.94,51.858,53.236,56.137,35215.0,40588.84,71360.75,9.55
2016-09-06,50.55,51.85,51.32,49.68,30443.75,0.77,1.52,52.94,53.777,56.541,40645.68,42434.42,78509.77,10.5
2016-09-05,52.96,53.29,50.55,50.12,37938.03,-2.41,-4.55,53.316,54.31,56.921,39659.8,43801.98,86823.93,13.08
2016-09-02,53.3,54.02,52.96,52.81,33827.11,-1.69,-3.09,53.82,54.86,57.2,38394.6,46021.87,85135.44,11.66
2016-09-01,54.67,55.86,54.65,54.31,46162.22,-0.57,-1.03,54.318,55.465,57.104,41674.89,52444.79,83579.28,15.92
2016-08-31,53.01,56.0,55.22,52.71,54857.28,2.02,3.8,54.614,56.342,56.691,45962.69,59905.95,81322.05,18.92
2016-08-30,53.01,54.35,53.2,52.9,25514.34,0.13,0.24,54.614,57.086,56.038,44223.16,65136.54,78628.62,8.8
2016-08-29,54.55,55.3,53.07,52.9,31612.06,-2.38,-4.29,55.304,57.957,55.295,47944.16,76612.11,77410.66,10.9
2016-08-26,55.2,56.4,55.45,54.68,50228.54,-0.68,-1.21,55.9,58.702,54.384,53649.15,87193.75,75880.81,17.32
2016-08-25,54.5,56.4,56.13,52.59,67601.22,0.91,1.65,56.612,59.088,53.196,63214.68,97630.89,73399.33,23.31
2016-08-24,56.65,56.87,55.22,54.98,46159.65,-1.43,-2.52,58.07,59.037,51.829,73849.22,102132.66,70052.7,15.92
2016-08-23,56.0,57.2,56.65,55.8,44119.33,0.6,1.07,59.558,59.306,50.377,86049.92,114585.12,67776.76,15.21
2016-08-22,58.0,58.67,56.05,56.0,60136.99,-2.96,-5.02,60.61,59.532,48.734,105280.06,129845.88,65583.23,20.74
2016-08-19,63.0,63.0,59.01,58.71,98056.22,-4.41,-6.95,61.504,59.54,47.014,120738.35,124249.0,62598.1,33.81
2016-08-18,62.85,65.73,63.42,61.9,120773.91,0.76,1.21,61.564,58.742,45.047,132047.11,114713.78,57710.16,41.65
2016-08-17,60.9,62.98,62.66,60.08,107163.17,0.75,1.21,60.004,57.039,42.77,130416.1,102738.14,51677.31,36.95
2016-08-16,59.18,65.8,61.91,59.18,140270.03,1.39,2.3,59.054,54.99,40.449,143120.32,92120.69,46320.61,48.37
2016-08-15,58.89,61.59,60.52,58.85,137428.42,1.21,2.04,58.454,52.633,38.092,154411.69,78209.21,39309.0,47.39
2016-08-12,54.39,60.8,59.31,54.16,154600.0,3.69,6.63,57.576,50.066,35.738,127759.65,64567.87,32440.23,53.31
2016-08-11,55.95,58.0,55.62,55.3,112618.87,-2.29,-3.95,55.92,47.303,33.383,97380.46,49167.78,24712.77,38.83
2016-08-10,57.0,61.0,57.91,56.17,170684.27,-1.0,-1.7,54.074,44.621,31.157,75060.19,37972.73,19084.18,58.86
2016-08-09,55.98,60.88,58.91,52.03,196726.88,2.78,4.95,50.926,41.448,28.766,41121.07,20968.41,10551.76,67.84
2016-08-08,56.13,56.13,56.13,56.13,4168.25,5.1,9.99,46.812,37.937,26.279,2006.74,1320.58,721.07,1.44
2016-08-05,51.03,51.03,51.03,51.03,2704.01,4.64,10.0,42.556,34.488,24.708,1376.09,947.2,539.63,0.93
2016-08-04,46.39,46.39,46.39,46.39,1017.53,4.22,10.01,38.686,31.352,23.246,955.09,706.54,419.39,0.35
2016-08-03,42.17,42.17,42.17,42.17,988.68,3.83,9.99,35.168,28.501,21.884,885.28,616.49,384.21,0.34
2016-08-02,38.34,38.34,38.34,38.34,1155.23,3.49,10.01,31.97,25.909,20.616,815.75,520.52,346.43,0.4
2016-08-01,34.85,34.85,34.85,34.85,1015.0,3.17,10.01,29.062,23.552,19.435,634.43,408.8,292.51,0.35
2016-07-29,31.68,31.68,31.68,31.68,599.03,2.88,10.0,26.42,21.41,18.334,518.32,312.6,240.9,0.21
2016-07-28,28.8,28.8,28.8,28.8,668.44,2.62,10.01,24.018,19.463,17.307,457.98,257.77,213.35,0.23
